id,name,description,price,image,category,sizes
a1,Textured Wallet,RFID-blocking slim wallet with a matte carbon fiber finish and cash clip.,55,/assets/accessory-1.avif,Accessories,One Size
a2,Navigator Aviators,Classic teardrop sunglasses with polarized lenses and gold-tone titanium frames.,145,/assets/accessory-2.jpeg,Accessories,One Size
a3,Legacy Leather Belt,Full-grain Italian leather belt with a brushed nickel buckle and hand-stitched edges.,75,/assets/accessory-3.webp,Accessories,32|34|36|38|40
a4,Urban Commuter Backpack,Water-resistant ballistic nylon bag with a 16-inch padded laptop sleeve.,120,/assets/accessory-4.jpeg,Accessories,22L
a5,Carbon watch box,Sleek timepiece featuring a Japanese quartz movement and a black stainless steel mesh band.,195,/assets/accessory-5.jpg,Accessories,40mm
a6,Merino Wool Scarf,Ultra-soft charcoal scarf knitted from premium 100% merino wool.,65,/assets/accessory-6.jpeg,Accessories,One Size
a7,Signature Snapback,Structured 6-panel cap with 3D embroidery and an adjustable strap.,35,/assets/accessory-7.jpg,Accessories,Adjustable
a8,Canvas Duffle Bag,"Heavy-duty waxed canvas bag with leather handles, perfect for weekend getaways.",160,/assets/accessory-8.jpg,Accessories,45L
a9,Silver Signet Ring,Sterling silver ring with a polished flat face and engraved interior branding.,110,/assets/accessory-9.jpg,Accessories,8|9|10|11
a10,Tech-Grip Gloves,Winter gloves with touchscreen-compatible fingertips and fleece lining.,45,/assets/accessory-10.jpg,Accessories,S/M|L/XL
a11,Braided Anchor Bracelet,Nautical-inspired cord bracelet with a silver-plated anchor clasp.,30,/assets/accessory-11.png,Accessories,Adjustable
a12,Aviator Leather Briefcase,Professional top-grain leather case with organized internal compartments.,280,/assets/accessory-12.webp,Accessories,One Size
a13,Silk Geometric Tie,Hand-finished silk necktie featuring a subtle navy and silver pattern.,55,/assets/accessory-13.png,Accessories,Standard
a14,Blue Light Glasses,Non-prescription frames designed to reduce eye strain during screen use.,85,/assets/accessory-14.webp,Accessories,One Size
a15,Cashmere Beanie,Luxuriously warm beanie made from sustainable Grade-A cashmere.,70,/assets/accessory-15.png,Accessories,One Size
a16,Brushed Steel Cufflinks,Modern rectangular cufflinks with a minimalist brushed metal texture.,50,/assets/accessory-16.webp,Accessories,One Size
a17,Travel Toiletry Kit,Compact waterproof pouch with internal mesh dividers for grooming essentials.,40,/assets/accessory-17.webp,Accessories,One Size
a18,Pebbled Leather Cardholder,Four-slot cardholder crafted from supple pebbled leather in forest green.,45,/assets/accessory-18.jpg,Accessories,One Size
a19,Leather Band,Premium leather band for watches.,35,/assets/accessory-19.webp,Accessories,One Size
a20,Premium Suede Cap,Luxury baseball cap made from soft goat suede with a silk lining.,95,/assets/accessory-20.jpg,Accessories,One Size
a21,Luminous Pearl Drop,Hand-selected freshwater pearl elegantly suspended from an 18k white gold hook.,2235,https://images.unsplash.com/photo-1599643478514-4a4e5abaed74?auto=format&fit=crop&q=80,Accessories,One Size
a22,Emerald Cut Solitaire,A breathtaking 2-carat emerald cut diamond set on a pristine platinum band.,5682,https://images.unsplash.com/photo-1605100804763-247f67b2548e?auto=format&fit=crop&q=80,Accessories,One Size
a23,Onyx Statement Cuff,"Bold, architectural cuff carved from solid onyx and wrapped in yellow gold.",1233,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?auto=format&fit=crop&q=80,Accessories,One Size
a24,Diamond Tennis Bracelet,"The quintessential tennis bracelet, articulated with VS1 brilliance.",5115,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?auto=format&fit=crop&q=80,Accessories,One Size
a25,Platinum Helix Ring,A modern twisted helix design representing eternal connection and prestige.,1947,https://images.unsplash.com/photo-1535632787350-4e68ef0ac584?auto=format&fit=crop&q=80,Accessories,One Size
a26,Sapphire Teardrop Pendant,A deep ocean blue sapphire teardrop enshrined in delicate diamond pavé.,3293,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80,Accessories,One Size
a27,Rose Gold Chain Link,"Industrial-chic interlocking links cast in heavy, polished 18k rose gold.",2533,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&q=80,Accessories,One Size
a28,Pavé Eternity Band,A complete circle of flawless diamonds symbolizing unbreakable devotion.,2873,https://images.unsplash.com/photo-1599643478514-4a4e5abaed74?auto=format&fit=crop&q=80,Accessories,One Size
a29,Celestial Star Earrings,"Whimsical star-shaped earrings radiating brilliant, youthful light.",5334,https://images.unsplash.com/photo-1605100804763-247f67b2548e?auto=format&fit=crop&q=80,Accessories,One Size
a30,Halo Engagement Ring,A magnificent brilliant-cut center stone surrounded by a delicate diamond halo.,5090,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?auto=format&fit=crop&q=80,Accessories,One Size
a31,Vintage Estate Brooch,"An intricate, heirloom-quality piece sourced from century-old designs.",2691,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?auto=format&fit=crop&q=80,Accessories,One Size
a32,Radiant Cut Cluster,An explosion of light captured in a tight formation of radiant-cut stones.,5815,https://images.unsplash.com/photo-1535632787350-4e68ef0ac584?auto=format&fit=crop&q=80,Accessories,One Size
a33,Aura Gemstone Choker,"A delicate choker featuring a vibrant, color-shifting gemstone centerpiece.",1246,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80,Accessories,One Size
a34,Hammered Gold Bangle,Textured yellow gold bangle reflecting light from countless hammered facets.,3323,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&q=80,Accessories,One Size
a35,Opal Aura Studs,"Hypnotic iridescence trapped within a smooth, minimalist gold setting.",2167,https://images.unsplash.com/photo-1599643478514-4a4e5abaed74?auto=format&fit=crop&q=80,Accessories,One Size
a36,Moonstone Drop Pendant,Ethereal glow captured in a teardrop moonstone on a thin silver chain.,3017,https://images.unsplash.com/photo-1605100804763-247f67b2548e?auto=format&fit=crop&q=80,Accessories,One Size
a37,Classic Signet Ring,A timeless flat-faced signet ring ready for personalized engraving.,1988,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?auto=format&fit=crop&q=80,Accessories,One Size
a38,Ruby Blossom Earrings,"Vivid crimson rubies arranged in a delicate, blooming floral pattern.",2792,https://images.unsplash.com/photo-1599643477877-530eb83abc8e?auto=format&fit=crop&q=80,Accessories,One Size
a39,Tungsten Minimalist Band,"Ultra-durable, scratch-resistant tungsten with a sleek matte finish.",3761,https://images.unsplash.com/photo-1535632787350-4e68ef0ac584?auto=format&fit=crop&q=80,Accessories,One Size
a40,Floating Diamond Necklace,An invisible setting that creates the illusion of a diamond resting on skin.,5442,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80,Accessories,One Size
c1,Obsidian Bomber Jacket,Graphic heavy-duty bomber featuring custom patches and a quilted red lining.,210,/assets/clothes-1.jpeg,Outerwear,S|M|L|XL
c2,Olive Tailored Shorts,Premium structured cotton shorts with a sharp pleat for a semi-formal summer look.,85,/assets/clothes-2.png,Bottoms,30|32|34|36
c3,Stealth Tech Shell,Water-resistant performance jacket with multiple tactical zippers and adjustable hood.,295,/assets/clothes-3.png,Outerwear,M|L|XL
c4,Arctic Fleece Joggers,Clean white heavy-fleece sweatpants with an elasticated waistband and drawstring.,110,/assets/clothes-4.webp,Bottoms,S|M|L
c5,Distressed Rider Leather,Vintage-treated black leather jacket with racing stripes and quilted shoulder detailing.,320,/assets/clothes-5.jpeg,Outerwear,S|M|L|XL
c6,Teal Satin Dress Shirt,"Slim-fit button-down in a high-sheen teal satin for a bold, sophisticated look.",75,/assets/clothes-6.png,Tops,S|M|L|XL
